	Concurso	Data	Bola1	Bola2	Bola3	Bola4	Bola5	Bola6	Bola7	Bola8	Bola9	Bola10	Bola11	Bola12	Bola13	Bola14	Bola15	Arrecadacao	Ganhadores	Numero1	Numero2	Numero3	Numero4	Numero5	Numero6	Numero7	Numero8	Numero9	Numero10	Numero11	NUmero12	Numero13	Numero14	Numero15										
1	60	16/11/2004	17	22	16	5	3	2	18	8	25	11	1	19	4	23	24	0	3	1	2	3	4	5	#N/A	#N/A	8	#N/A	#N/A	11	#N/A	#N/A	#N/A	#N/A	16	17	18	19	#N/A	#N/A	22	23	24	25
1	61	22/11/2004	4	15	1	23	9	14	12	11	13	19	25	16	22	5	20	0	2	1	#N/A	#N/A	4	5	#N/A	#N/A	#N/A	9	#N/A	11	12	13	14	15	16	#N/A	#N/A	19	20	#N/A	22	23	#N/A	25
1	62	29/11/2004	9	7	1	13	20	11	3	17	25	8	14	16	15	18	24	0	5	1	#N/A	3	#N/A	#N/A	#N/A	7	8	9	#N/A	11	#N/A	13	14	15	16	17	18	#N/A	20	#N/A	#N/A	#N/A	24	25
1	63	06/12/2004	13	19	22	17	10	4	25	9	24	8	16	11	21	12	20	0	2	#N/A	#N/A	#N/A	4	#N/A	#N/A	#N/A	8	9	10	11	12	13	#N/A	#N/A	16	17	#N/A	19	20	21	22	#N/A	24	25
1	64	13/12/2004	13	1	10	6	25	23	14	9	7	2	18	8	20	3	17	0	4	1	2	3	#N/A	#N/A	6	7	8	9	10	#N/A	#N/A	13	14	#N/A	#N/A	17	18	#N/A	20	#N/A	#N/A	23	#N/A	25
1	65	20/12/2004	23	19	10	7	1	17	4	2	22	16	21	15	20	18	25	0	0	1	2	#N/A	4	#N/A	#N/A	7	#N/A	#N/A	10	#N/A	#N/A	#N/A	#N/A	15	16	17	18	19	20	21	22	23	#N/A	25
1	66	27/12/2004	8	10	23	17	11	20	2	14	21	22	15	16	24	4	1	0	8	1	2	#N/A	4	#N/A	#N/A	#N/A	8	#N/A	10	11	#N/A	#N/A	14	15	16	17	#N/A	#N/A	20	21	22	23	24	#N/A
1	67	03/01/2005	7	24	13	20	16	5	21	12	11	8	15	22	23	10	9	0	4	#N/A	#N/A	#N/A	#N/A	5	#N/A	7	8	9	10	11	12	13	#N/A	15	16	#N/A	#N/A	#N/A	20	21	22	23	24	#N/A
1	68	10/01/2005	9	1	25	16	6	3	5	22	7	12	8	10	2	17	23	0	2	1	2	3	#N/A	5	6	7	8	9	10	#N/A	12	#N/A	#N/A	#N/A	16	17	#N/A	#N/A	#N/A	#N/A	22	23	#N/A	25
1	69	17/01/2005	23	7	11	15	4	17	20	8	9	24	1	18	21	10	19	0	4	1	#N/A	#N/A	4	#N/A	#N/A	7	8	9	10	11	#N/A	#N/A	#N/A	15	#N/A	17	18	19	20	21	#N/A	23	24	#N/A
1	70	24/01/2005	14	5	9	24	6	15	12	19	20	1	2	25	16	10	3	0	6	1	2	3	#N/A	5	6	#N/A	#N/A	9	10	#N/A	12	#N/A	14	15	16	#N/A	#N/A	19	20	#N/A	#N/A	#N/A	24	25
1	71	31/01/2005	13	3	22	5	1	21	23	6	8	11	15	18	14	16	9	0	4	1	#N/A	3	#N/A	5	6	#N/A	8	9	#N/A	11	#N/A	13	14	15	16	#N/A	18	#N/A	#N/A	21	22	23	#N/A	#N/A
1	72	09/02/2005	2	16	5	25	23	11	18	13	24	15	1	7	8	12	17	0	2	1	#N/A	#N/A	#N/A	5	#N/A	7	8	#N/A	#N/A	11	12	13	#N/A	15	16	17	18	#N/A	#N/A	#N/A	#N/A	23	24	25
1	73	14/02/2005	25	17	18	2	16	19	15	13	14	5	21	11	7	1	10	0	3	1	2	#N/A	#N/A	5	#N/A	7	#N/A	#N/A	10	11	#N/A	13	14	15	16	17	18	19	#N/A	21	#N/A	#N/A	#N/A	25
1	74	21/02/2005	8	25	3	1	2	22	16	4	5	15	6	18	13	23	11	0	7	1	2	3	4	5	6	#N/A	8	#N/A	#N/A	11	#N/A	13	#N/A	15	16	#N/A	18	#N/A	#N/A	#N/A	22	23	#N/A	25
1	75	28/02/2005	10	8	3	16	7	25	20	4	13	6	11	15	17	5	1	0	2	1	#N/A	3	4	5	6	7	8	#N/A	10	11	#N/A	13	#N/A	15	16	17	#N/A	#N/A	20	#N/A	#N/A	#N/A	#N/A	25
1	76	07/03/2005	15	5	12	10	19	16	21	17	25	9	13	1	23	8	3	0	13	1	#N/A	3	#N/A	5	#N/A	#N/A	8	9	10	#N/A	12	13	#N/A	15	16	17	#N/A	19	#N/A	21	#N/A	23	#N/A	25
1	77	14/03/2005	6	20	4	9	11	17	3	8	2	21	24	14	22	25	18	0	4	#N/A	2	3	4	#N/A	6	#N/A	8	9	#N/A	11	#N/A	#N/A	14	#N/A	#N/A	17	18	#N/A	20	21	22	#N/A	24	25
1	78	21/03/2005	15	5	17	23	1	8	7	20	16	6	12	18	3	2	13	0	1	1	2	3	#N/A	5	6	7	8	#N/A	#N/A	#N/A	12	13	#N/A	15	16	17	18	#N/A	20	#N/A	#N/A	23	#N/A	#N/A
1	79	28/03/2005	15	14	17	2	22	24	5	23	20	9	12	18	25	1	3	0	1	1	2	3	#N/A	5	#N/A	#N/A	#N/A	9	#N/A	#N/A	12	#N/A	14	15	#N/A	17	18	#N/A	20	#N/A	22	23	24	25
